Bron,Plaats,Nieuw?,Prijs,m2 Binnen,m2 Buiten,Slaapkamers,URL
ladresse_tournon,Onbekend,Nee,285 000 €,197,N/A,5,https://www.ladresse.com/annonce/achat/maison/montayral-47500/10957330
ladresse_tournon,Onbekend,Nee,137 600 €,192,N/A,2,https://www.ladresse.com/annonce/achat/immeuble/fumel-47500/12918358
ladresse_tournon,Onbekend,Nee,223 000 €,171,N/A,5,https://www.ladresse.com/annonce/achat/maison/masquieres-47370/12918888
ladresse_tournon,Onbekend,Nee,129 000 €,100,N/A,3,https://www.ladresse.com/annonce/achat/maison/sauveterre-la-lemance-47500/12949673
ladresse_tournon,Onbekend,Nee,359 000 €,230,N/A,5,https://www.ladresse.com/annonce/achat/maison/fumel-47500/12959574
ladresse_tournon,Onbekend,Nee,276 000 €,200,N/A,5,https://www.ladresse.com/annonce/achat/maison/monsempron-libos-47500/12998969
lot_immoco,Onbekend,Nee,735 000 €,530,N/A,N/A,https://www.lot-immoco.net/7010757-domaine-touristique-de-charme-du-18eme-1765-en-pierre-avec-une-maison-tres-spacieuse-et-un-grand-gites.html
lot_immoco,Onbekend,Nee,480 000 €,500,N/A,N/A,https://www.lot-immoco.net/7010663-ensemble-immobilier-aux-portes-de-la-dordogne.html
lot_immoco,Onbekend,Nee,472 500 €,170,N/A,N/A,https://www.lot-immoco.net/7010756-magnifique-villa.html
lot_immoco,Onbekend,Nee,440 000 €,220,N/A,N/A,https://www.lot-immoco.net/7010635-maison-en-pierre-et-ses-dependances.html
lot_immoco,Onbekend,Nee,380 000 €,220,N/A,N/A,https://www.lot-immoco.net/7010646-propriete-en-pierre.html
lot_immoco,Onbekend,Nee,368 000 €,280,N/A,N/A,https://www.lot-immoco.net/7010753-maison-en-pierre-avec-3-ha-de-terrain.html
pouget,Regio 47290,Nee,117 150 €,93,N/A,N/A,https://www.agencespouget.com/vente/386-cancon/appartement/t5/7167-maison-familiale-a-cancon/
pouget,Regio 47500,Nee,4 245 000 €,148,N/A,N/A,https://www.agencespouget.com/vente/8-montayral/villa/t6/7166-exclusivite-villa-de-plain-pied-de-type-f4/
pouget,Regio 46700,Nee,54 000 €,40,N/A,N/A,https://www.agencespouget.com/vente/17-puy-l-eveque/appartement/t2/7164-appartement-t2-renove/
pouget,Regio 47370,Nee,109 000 €,108,N/A,N/A,https://www.agencespouget.com/vente/18-bourlens/maison-de-village/7159-maison-de-village-avec-jardin-dependances-et-grand-garage
pouget,Regio 46700,JA,52 000 €,N/A,N/A,N/A,https://www.agencespouget.com/vente/13-mauroux/terrain/7157-exclusivite-en-campagne-ruine-avec-fort-potentiel
pouget,Regio 24550,Nee,23 000 €,N/A,N/A,N/A,https://www.agencespouget.com/vente/64-mazeyrolles/terrain-a-batir/7155-terrain-en-campagne
letuc,Regio 31190,Nee,525 192 000 €,6,78,2,https://www.letuc.com/vente/31-haute-garonne/3929-auterive/27-rez-de-villa/t3/18332-auterive-maison-de-ville-3-pieces-78-m/
letuc,Regio 30240,Nee,2650115397 310 000 €,50,N/A,N/A,https://www.letuc.com/vente/30-gard/1099-le-grau-du-roi/26-rez-de-jardin/t3/18331-rez-de-jardin-de-50-m-entierement-renove-proche-centre-ville/
letuc,Regio 30100,JA,175 000 €,20,168,N/A,https://www.letuc.com/vente/30-gard/81-ales/1-maison/t3/18318-maison-type-3-avec-jardin-et-terrasse/
letuc,TERRIER,JA,150€,3,33,N/A,https://www.letuc.com/vente/2a-corse-du-sud/1085-ajaccio/2-appartement/t1/18328-ajaccio-charmant-t1-bis-renove/
letuc,Regio 20090,Nee,240 €,64,N/A,N/A,https://www.letuc.com/vente/2a-corse-du-sud/1085-ajaccio/2-appartement/t3/18324-ajaccio-saint-jean-joli-t3-traversant/
